
Connected to: Oracle Database 11g Enterprise Edition Release 11.1.0.6.0 - 64bit Production
With the Partitioning, OLAP, Data Mining and Real Application Testing options

Export file created by EXPORT:V10.02.01 via conventional path

Warning: the objects were exported by ADV9_TRAIN, not by you

import done in WE8MSWIN1252 character set and AL16UTF16 NCHAR character set
. . importing table       "BATCH_PAYMENT_SCHEDULE"       1247 rows imported
. . importing table        "BATCH_PLEDGE_EFT_BASE"          2 rows imported
. . importing table           "BATCH_PLEDGE_ENTRY"        174 rows imported
. . importing table         "BATCH_PLEDGE_PREMIUM"          5 rows imported
. . importing table                "BENEFICIARIES"          4 rows imported
. . importing table                       "BG_ACK"         43 rows imported
. . importing table          "BG_ASSOCIATED_DONOR"        848 rows imported
. . importing table                     "BG_CLAIM"        278 rows imported
. . importing table                     "BG_CODES"          3 rows imported
. . importing table                       "BM_ACK"          3 rows imported
. . importing table                     "BM_CODES"          0 rows imported
. . importing table         "BNR_ADDRESS_PRIORITY"          0 rows imported
. . importing table              "BNR_EXTRACT_SQL"          0 rows imported
. . importing table              "BNR_INCREMENTAL"          0 rows imported
. . importing table      "BNR_INTEGRATION_OPTIONS"          0 rows imported
. . importing table                   "BNR_PARENT"          0 rows imported
. . importing table           "BNR_TELEPHONE_XREF"          0 rows imported
. . importing table             "BNR_TMS_XREF_SQL"          0 rows imported
. . importing table                      "BPE_ACK"         12 rows imported
. . importing table         "BPE_ASSOCIATED_DONOR"        216 rows imported
. . importing table                    "BPE_CODES"          0 rows imported
. . importing table               "CAMPAIGN_AGENT"          0 rows imported
. . importing table         "CAMPAIGN_AGENT_AGENT"          0 rows imported
. . importing table              "CAMPAIGN_COMMIT"          0 rows imported
. . importing table           "CAMPAIGN_COMMITTEE"          1 rows imported
. . importing table "CAMPAIGN_COMMITTEE_ASSIGNMENT"          0 rows imported
. . importing table  "CAMPAIGN_COMMITTEE_PROSPECT"          0 rows imported
. . importing table      "CAMPAIGN_COMMITTEE_TREE"          0 rows imported
. . importing table       "CAMPAIGN_COMMIT_ASSIGN"          0 rows imported
. . importing table       "CAMPAIGN_COMMIT_COMMIT"          0 rows imported
. . importing table      "CAMPAIGN_COMMIT_PROGRAM"          0 rows imported
. . importing table                "CAMPAIGN_GOAL"          0 rows imported
